Client_ID,Client_Name,Business,Client_Group,Status,Waves,Division,Vertical,Business_Model,Frequency,Primary_KPI,Comparison
A001,Acme Stove and Fireplace Center,Acme Stove and Fireplace Center,Acme Stove and Fireplace Center,Active,1,Echo,Food & Bev,B2C,Monthly,Ad Conversions,Last Year Same Period
A002,ADS,ADS,ADS,Paused,,Echo,Home Services,B2B,Monthly,Ad Conversions,Last Year Same Period
A003,ADS Capture,ADS,ADS,Paused,,Echo,Home Services,B2B,Monthly,Ad Conversions,Last Year Same Period
A004,ADS Pipe California,ADS,ADS,Paused,,Echo,Home Services,B2B,Monthly,Ad Conversions,Last Year Same Period
A005,ADS Pipe Florida,ADS,ADS,Paused,,Echo,Home Services,B2B,Monthly,Ad Conversions,Last Year Same Period
A006,ADS Pipe Texas,ADS,ADS,Paused,,Echo,Home Services,B2B,Monthly,Ad Conversions,Last Year Same Period
A007,ADS StormTech,ADS,ADS,Paused,,Echo,Home Services,B2B,Monthly,Ad Conversions,Last Year Same Period
A008,ADS Water Quality,ADS,ADS,Paused,,Echo,Home Services,B2B,Monthly,Ad Conversions,Last Year Same Period
A009,Americourt Inc.,Americourt Inc.,Americourt Inc.,Active,1,Echo,,B2B,Monthly,Ad Conversions,Last Year Same Period
A010,Anvil American,Anvil American,Anvil American,Active,1,Echo,,B2B,Monthly,Ad Conversions,Last Year Same Period
A011,Atlantic Spas & Billiards,Atlantic Spas & Billiards,Atlantic Spas & Billiards,Inactive,,Echo,Home Services,B2C,Monthly,Ad Conversions,Last Year Same Period
A012,Adoverse IT,Adoverse IT,Adoverse IT,Active,1,Echo,Professional Services,B2B,Monthly,Ad Conversions,Last Year Same Period
A013,All Star Dog Training,All Star Dog Training,All Star Dog Training,Active,2,Echo,Lifestyle,B2C,Monthly,Leads,Last Year Same Period
B001,Barefoot Lawn Care,Barefoot Lawn Care,Barefoot Lawn Care,Active,2,Echo,Home Services,B2C,Monthly,Ad Conversions,Last Year Same Period
B002,Beacon Prescriptions,Beacon Prescriptions,Beacon Prescriptions,Active,1,Echo,Medical,B2C,Monthly,Ad Conversions,Last Year Same Period
B003,Benton Technology Solutions,Benton Technology Solutions,Benton Technology Solutions,Inactive,1,Echo,,B2B,Monthly,Ad Conversions,Last Year Same Period
B004,Bonzini USA,Bonzini USA,Bonzini USA,Inactive,,Echo,Home Services,B2C,Monthly,Ad Conversions,Last Year Same Period
B005,"Ben Franklin Plumbing - Meridian, ID",Ben Franklin Plumbing,Ben Franklin Plumbing,Paused,,Echo,Home Services,B2C,Monthly,Leads,Last Year Same Period
B006,Ben Franklin Plumbing of the Triad,Ben Franklin Plumbing,Ben Franklin Plumbing,Paused,,Echo,Home Services,B2C,Monthly,Leads,Last Year Same Period
B007,"Ben Franklin Plumbing - MetroWest, MA",Ben Franklin Plumbing,Ben Franklin Plumbing,Paused,,Echo,Home Services,B2C,Monthly,Leads,Last Year Same Period
B008,"Ben Franklin Plumbing - Springfield, MO",Ben Franklin Plumbing,Ben Franklin Plumbing,Paused,,Echo,Home Services,B2C,Monthly,Leads,Last Year Same Period
C001,Cambridge Fitness,Cambridge Fitness,Cambridge Fitness,Inactive,,Echo,Lifestyle,B2C,Monthly,Ad Conversions,Previous Period
C002,Cambridge Village,Cambridge Village,Cambridge Village,Inactive,,Echo,Lifestyle,B2C,Monthly,Ad Conversions,Previous Period
C003,Cannon Pharmacies,Cannon Pharmacies,Cannon Pharmacies,Inactive,,Echo,Medical,B2B,Monthly,Ad Conversions,Last Year Same Period
C004,Capital Sign Solutions,Capital Sign Solutions,Capital Sign Solutions,Inactive,,Echo,,B2B,Monthly,Ad Conversions,Last Year Same Period
C005,CAPTRUST,CAPTRUST,CAPTRUST,Inactive,,Echo,Professional Services,B2C,Monthly,Ad Conversions,Last Year Same Period
C006,Care First Animal Hospital,Care First Animal Hospital,Care First Animal Hospital,Inactive,,Echo,Medical,B2C,Monthly,Ad Conversions,Last Year Same Period
C007,Carolina QuickCare,Carolina QuickCare,Carolina QuickCare,Active,2,Echo,Medical,B2C,Monthly,Ad Conversions,Last Year Same Period
C016,Carolina TMJ & Facial Pain Center,Carolina TMJ & Facial Pain Center,Carolina TMJ & Facial Pain Center,Active,2,Echo,Medical,B2C,Monthly,Ad Conversions,Last Year Same Period
C017,Carolina Yard Barns,Carolina Yard Barns,Carolina Yard Barns,Active,2,Echo,Home Services,B2C,Monthly,Ad Conversions,Last Year Same Period
C018,Cary Cart Company,Cary Cart Company,Cary Cart Company,Active,2,Echo,Golf,B2C,Monthly,Ad Conversions,Last Year Same Period
C019,CK's Plumbing,CK's Plumbing,CK's Plumbing,Active,2,Echo,Home Services,B2C,Monthly,Ad Conversions,Last Year Same Period
C020,Coastal Massage & BodyWork,Coastal Massage & BodyWork,Coastal Massage & BodyWork,Inactive,,Echo,Medical,B2C,Monthly,Ad Conversions,Last Year Same Period
C021,Concert Golf Partners,Concert Golf Partners,Concert Golf Partners,Inactive,,Echo,Golf,B2C,Monthly,Ad Conversions,Last Year Same Period
C022,Custom Patch Hats,Custom Patch Hats,Custom Patch Hats,Active,2,Echo,Lifestyle,B2B,Monthly,Ad Conversions,Previous Period
C023,Cutter Creek,Cutter Creek,Cutter Creek,Active,2,Echo,Golf,B2C,Monthly,Ad Conversions,Previous Period
D001,"DANCO Electrical Contractors, Inc.","DANCO Electrical Contractors, Inc.",DANCO Electrical Contractors Inc.,Active,1,Echo,Home Services,B2B,Monthly,Ad Conversions,Last Year Same Period
E001,ElectriCities,ElectriCities,ElectriCities,Active,2,Echo,,B2C,Monthly,Ad Conversions,Last Year Same Period
F001,Fairview Garden Center,Fairview Garden Center,Fairview Garden Center,Inactive,1,Echo,Home Services,B2C,Monthly,Ad Conversions,Last Year Same Period
F002,Fairway Green,Fairway Green,Fairway Green,Inactive,,Echo,Home Services,B2C,Monthly,Ad Conversions,Last Year Same Period
F003,Fink's Jewelers,Fink's Jewelers,Fink's Jewelers,Active,2,Echo,Lifestyle,B2C,Monthly,Sales,Previous Period
F004,Forest Creek Golf Club,Forest Creek Golf Club,Forest Creek Golf Club,Inactive,,Echo,Golf,B2C,Monthly,Website Conversions,Last Year Same Period
F005,Friends of Pinehurst Surgical Clinic,Friends of Pinehurst Surgical Clinic,Friends of Pinehurst Surgical Clinic,Inactive,,Echo,Medical,B2C,Monthly,Ad Conversions,Last Year Same Period
G001,Gailor Hunt,Gailor Hunt,Gailor Hunt,Inactive,1,Echo,Professional Services,B2C,Monthly,Ad Conversions,Last Year Same Period
G002,Garage Door Specialist,Garage Door Specialist,Garage Door Specialist,Active,2,Echo,Home Services,B2C,Monthly,Leads,Last Year Same Period
G003,Glass Depots & Bi-Fold Depot,Glass Depots & Bi-Fold Depot,Glass Depots & Bi-Fold Depot,Inactive,2,Echo,Home Services,B2C,Monthly,Leads,Last Year Same Period
G004,Glenwood Village Dentistry,Glenwood Village Dentistry,Glenwood Village Dentistry,Active,1,Echo,Medical,B2C,Monthly,Ad Conversions,Last Year Same Period
